name,version,variant,arch,os,filename,date,size,checksum
nginx,1.25.5,,aarch64,linux,nginx-1.25.5-aarch64-linux,2024-09-08T00:22:39Z,4353144,sha1:365a4a864008c896b24dabb1e3911a7d2cdaf898
nginx,1.25.5,,arm64,darwin,nginx-1.25.5-arm64-darwin,2024-06-12T21:23:21Z,4761176,sha1:7d25aca7c10921575b54974ff0def1d9f55ceacb
nginx,1.25.5,,x86_64,darwin,nginx-1.25.5-x86_64-darwin,2024-06-12T21:23:21Z,5084984,sha1:d914d2ced97b9cf063b1b91d8fad76ed774bbf32
nginx,1.25.5,,x86_64,linux,nginx-1.25.5-x86_64-linux,2024-09-08T00:22:39Z,5253160,sha1:18ca7276cf5aaf51d4cbe5536c5eae6002f29489
nginx,1.26.1,,aarch64,linux,nginx-1.26.1-aarch64-linux,2024-06-30T00:21:09Z,4353144,sha1:1d23b5245f740cb1b604f290a150cd1ca10630e1
nginx,1.26.1,,arm64,darwin,nginx-1.26.1-arm64-darwin,2024-06-12T21:23:21Z,4761176,sha1:130e6221c9c4c71bf9737a40329eef077c372968
nginx,1.26.1,,x86_64,darwin,nginx-1.26.1-x86_64-darwin,2024-06-12T21:23:21Z,5084984,sha1:38785738c7e3fb962be5cc10bfdab429ba88075b
nginx,1.26.1,,x86_64,linux,nginx-1.26.1-x86_64-linux,2024-06-30T00:21:09Z,5253160,sha1:8ee7ef0711ac5bc689fb6081e043d8a7308d138e
nginx,1.26.2,,aarch64,linux,nginx-1.26.2-aarch64-linux,2024-09-08T00:22:39Z,4353144,sha1:df623274d5a24617bc2a100af36532ebf3422623
nginx,1.26.2,,arm64,darwin,nginx-1.26.2-arm64-darwin,2024-08-18T00:21:47Z,4761480,sha1:e296546ebd267384215cfed536c877be3a928007
nginx,1.26.2,,x86_64,darwin,nginx-1.26.2-x86_64-darwin,2024-08-18T00:21:47Z,5084984,sha1:d1941bdf505184e76b08ecb8c71f4416a9caabc0
nginx,1.26.2,,x86_64,linux,nginx-1.26.2-x86_64-linux,2024-09-08T00:22:39Z,5253160,sha1:fe8e2eb59810efbd47cdda188c37ae97351dccb2
